,Location,Date,Debate,Source,Speaker,Speech,RE
1269,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"And, Secretary Clinton, same question, because at this point, Social Security and Medicare are going to run out, the trust funds are going to run out of money.",Secretary Clinton
1271,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,CLINTON,"Well, Chris, I am on record as saying that we need to put more money into the Social Security Trust Fund.",Chris
1273,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,CLINTON,"My Social Security payroll contribution will go up, as will Donald's, assuming he can't figure out how to get out of it.",Donald
1275,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,Such a nasty woman.,a nasty woman
1279,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,CLINTON,But what Donald is proposing with these massive tax cuts will result in a $20 trillion additional national debt.,Donald
1285,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,Your husband disagrees with you.,your husband
1295,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"Secretary Clinton, it's your turn to go first.",Secretary Clinton
1305,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"Secretary Clinton, thank you.",Secretary Clinton
1306,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,Mr. Trump?,Mr. Trump
1327,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"We cannot take four more years of Barack Obama, and that's what you get when you get her.",Barack Obama
1329,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"[applause]  Secretary ClintonÛÓhold on just a moment, folks.",Secretary Clinton
1330,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"Secretary Clinton, Mr. Trump, I want to thank you both for participating in all three of these debates.",Secretary Clinton; Mr. Trump
