,Location,Date,Debate,Source,Speaker,Speech,RE
1183,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Well, I have to say that, you know, for what Secretary Clinton was saying about nuclear with Russia, she's very cavalier in the way she talks about various countries.",Secretary Clinton
1203,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And when asked to Secretary Kerry, why didn't you do that?",Secretary Kerry
1219,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mrs. Clinton, Secretary Clinton, you have two minutes.",Mrs. Clinton; Secretary Clinton
1231,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,And Donald never tells you what he would do.,Donald
1247,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Lester, one thing I'd like to say.",Lester
1251,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"But I will tell you that Hillary will tell you to go to her website and read all about how to defeat ISIS, which she could have defeated by never having it, you know, get going in the first place.",Hillary
1253,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Mr. Trump...,Mr. Trump
1269,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, this year Secretary Clinton became the first woman nominated for president by a major party.",Mr. Trump; Secretary Clinton
1280,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Wait a minute, Lester.",Lester
1289,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"You have so many different things you have to be able to do, and I don't believe that Hillary has the stamina.",Hillary
1295,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Hillary has experience, but it's bad experience.",Hillary
1316,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Donald, she has a name.",Donald
1326,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, could we just take 10 seconds and then we ask the final question...",Mr. Trump
1327,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"You know, Hillary is hitting me with tremendous commercials.",Hillary
1333,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"... extremely rough to Hillary, to her family, and I said to myself, ""I can't do it.",Hillary
1340,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And I will tell you this, Lester: It's not nice.",Lester
1350,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Secretary Clinton?,Secretary Clinton
1354,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"And I know Donald's trying very hard to plant doubts about it, but I hope the people out there understand: This election's really up to you.",Donald
1357,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, very quickly, same question.",Mr. Trump
1372,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,I don't believe Hillary will.,Hillary
1383,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,My thanks to Hillary Clinton and to Donald Trump and to Hofstra University for hosting us tonight.,Hillary Clinton; Donald Trump
